n(4),や,n(6),の,n(1),は,n(3),
n(2),なのか,名もなき,n(2),の,n(5),,
n(4),を,n(6),と,v(5),,,
n(2),adj(3),その,n(2),へ,n(5),,
n(4),に,v(4),v(3),n(2),もがな,,
n(4),や,n(3),に,v(3),n(5),,
n(4),の,n(2),は,n(2),より,n(3),にて
n(5),adj(4),n(2),の,n(5),,,
adv(5),n(4),v(2),か,n(5),,,
n(4),や,n(2),に,n(2),v(2),n(5),
n(4),や,n(2),はあれども,n(5),,,
n(4),を,v(4),adj(3),n(5),,,
n(5),v(3),v(4),n(3),かな,,,
n(4),や,adj(4),n(2),を,n(5),,
adj(5),やがて,adj(4),n(3),かな,,,
n(5),adv(4),v(2),ぞ,adj(5),,,
n(4),や,n(2),に,v(4),n(5),,
n(4),や,n(6),が,n(5),,,
int(2),v(3),n(6),の,n(5),,,
n(4),や,n(3),も,adj(3),n(2),には似ず,
n(4),の,v(3),ども,adj(3),n(5),,
n(3),v(2),n(2),に,v(4),n(5),,
n(4),や,n(2),も,n(3),も,adj(5),
n(4),に,n(3),の,v(3),n(5),,
この,n(2),や,v(2),n(2),なしに,n(5),
n(2),adj(3),n(3),は何を,v(2),n(2),ぞ,
n(2),v(3),n(4),adj(3),n(5),,,
adv(5),n(1),は,v(2),なくも,n(5),,
n(4),の,n(2),より,adj(3),n(5),,
n(4),や,n(2),に,adj(4),n(5),,
n(2),adj(3),n(2),は,n(2),を,v(2),ながら
n(4),や,n(2),を,v(4),夜もすがら,,
n(4),の,n(3),は,n(2),に,v(3),けり
adv(3),v(2),n(4),adj(3),n(5),,,
n(3),かな,n(6),の,n(5),,,
adv(3),v(2),n(5),のみ,n(5),,,
n(4),や,n(2),には,adj(3),n(5),,
n(4),に,n(3),も,v(3),n(5),,
n(2),adj(3),n(3),は,n(2),が,n(3),かな
n(4),も,n(5),も,n(2),の内,,
n(2),v(3),n(2),v(2),n(3),v(2),ながら,
n(4),や,n(4),に,v(2),n(5),,
n(3),v(2),n(2),も,v(2),らし,n(5),
n(2),をさえ,adv(4),n(2),の,n(3),かな,
いざ,n(3),v(7),n(5),,,,
n(4),に,n(2),v(5),n(3),かな,,
n(5),n(2),も,n(3),を,v(3),なり,
n(4),と,n(3),v(2),れん,n(5),,
v(5),n(2),の,n(3),や,n(5),,
n(4),や,n(6),の,v(3),まで,,
いざ,v(3),n(3),に,v(3),所まで,,
n(2),に,v(2),n(2),は,n(3),を,v(5)
n(2),adj(3),n(5),adv(4),adj(3),,,
n(2),adj(3),adj(4),たる,n(3),かな,,
n(5),v(4),adj(3),n(5),,,,
n(4),は,n(4),adj(3),n(5),,,
